date,price
2021년 06월 29일,1131.21
2021년 06월 28일,1129.63
2021년 06월 25일,1128.6
2021년 06월 24일,1134.33
2021년 06월 23일,1134.9
2021년 06월 22일,1134.58
2021년 06월 21일,1135.19
2021년 06월 18일,1133.1
2021년 06월 17일,1132.175
2021년 06월 16일,1126.455
2021년 06월 15일,1117.765
2021년 06월 14일,1117.25
2021년 06월 11일,1113.895
2021년 06월 10일,1115.595
2021년 06월 09일,1115.66
2021년 06월 08일,1113.9
2021년 06월 07일,1111.8
2021년 06월 04일,1114.14
2021년 06월 03일,1113.84
2021년 06월 02일,1110.795
2021년 06월 01일,1107.64
2021년 05월 31일,1111.96
2021년 05월 28일,1116.105
2021년 05월 27일,1117.695
2021년 05월 26일,1119.08
2021년 05월 25일,1123.45
2021년 05월 24일,1126.2
2021년 05월 21일,1125.8
2021년 05월 20일,1130.79
2021년 05월 19일,1128.955
2021년 05월 18일,1132.69
2021년 05월 17일,1132.845
2021년 05월 14일,1128.27
2021년 05월 13일,1131.15
2021년 05월 12일,1126.34
2021년 05월 11일,1118.67
2021년 05월 10일,1114.295
2021년 05월 07일,1116.575
2021년 05월 06일,1123.325
2021년 05월 05일,1125.24
2021년 05월 04일,1123.88
2021년 05월 03일,1120.225
2021년 04월 30일,1112.985
2021년 04월 29일,1108.235
2021년 04월 28일,1111.915
2021년 04월 27일,1111.41
2021년 04월 26일,1112.955
2021년 04월 23일,1117.74
2021년 04월 22일,1117.91
2021년 04월 21일,1118.195
2021년 04월 20일,1115.015
2021년 04월 19일,1116.6
2021년 04월 16일,1117.315
2021년 04월 15일,1116.415
2021년 04월 14일,1118
2021년 04월 13일,1124.4
2021년 04월 12일,1123.785
2021년 04월 09일,1117.865
2021년 04월 08일,1118.075
2021년 04월 07일,1117.515
2021년 04월 06일,1121.125
2021년 04월 05일,1126.24
2021년 04월 02일,1128.335
2021년 04월 01일,1129.565
2021년 03월 31일,1130
2021년 03월 30일,1133.855
2021년 03월 29일,1132.59
2021년 03월 26일,1132.08
2021년 03월 25일,1134.975
2021년 03월 24일,1133.1
2021년 03월 23일,1129.75
2021년 03월 22일,1129.81
2021년 03월 19일,1130.055
2021년 03월 18일,1125.67
2021년 03월 17일,1127.48
2021년 03월 16일,1132.025
2021년 03월 15일,1134.85
2021년 03월 12일,1133.31
2021년 03월 11일,1134.945
2021년 03월 10일,1140.455
2021년 03월 09일,1139.115
2021년 03월 08일,1135.565
2021년 03월 05일,1130.655
2021년 03월 04일,1128.21
2021년 03월 03일,1122.5
2021년 03월 02일,1115.17
2021년 03월 01일,1119.12
2021년 02월 26일,1124.37
2021년 02월 25일,1113.655
2021년 02월 24일,1109.915
2021년 02월 23일,1111.525
2021년 02월 22일,1109.465
2021년 02월 19일,1106.75
